book_info,book_name,book_rate,book_desc,book_url,book_comments
刘瑜 / 上海三联书店 / 2009-6 / 25.00,"
                民主的细节

                
                  ",8.6,公民养成手册,https://book.douban.com/subject/3813669/,"(
                    52575人评价
                )"
[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,"
                少有人走的路

                
                  ",8.3,成熟的心智通向更完善的自我,https://book.douban.com/subject/1775691/,"(
                    53529人评价
                )"
龙应台 / 人民文学出版社 / 2008-12 / 26.00,"
                亲爱的安德烈

                
              ",8.7,龙应台母子对话，两代人的思想碰撞,https://book.douban.com/subject/3369793/,"(
                    51909人评价
                )"
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,"
                灿烂千阳

                
              ",8.7,唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/,"(
                    50476人评价
                )"
张德芬 / 华夏出版社 / 2008-1 / 29.00,"
                遇见未知的自己

                
              ",8.1,都市灵修速成,https://book.douban.com/subject/2340100/,"(
                    53165人评价
                )"
海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,"
                老人与海

                
              ",8.3,正是悲壮赋予生活以意义,https://book.douban.com/subject/1064275/,"(
                    52077人评价
                )"
[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,"
                一九八四·动物农场

                
              ",9.2,一个预言和一个寓言，令人窒息的政治恐怖,https://book.douban.com/subject/1082387/,"(
                    24305人评价
                )"
[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,"
                福尔摩斯探案全集（上中下）

                
              ",9.2,侦探小说鼻祖,https://book.douban.com/subject/1040211/,"(
                    47654人评价
                )"
[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,"
                牧羊少年奇幻之旅

                
              ",8.6,你自己就是最大的宝藏,https://book.douban.com/subject/3608208/,"(
                    49057人评价
                )"
郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,"
                小时代1.0折纸时代

                
              ",6.7,温习了很多奢侈品品牌名称,https://book.douban.com/subject/3191328/,"(
                    59251人评价
                )"
[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元,"
                百年孤独

                
              ",8.9,拉丁美洲圣经,https://book.douban.com/subject/1786670/,"(
                    47046人评价
                )"
[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元,"
                洛丽塔

                
              ",7.7,我的生命之光，我的欲望之火,https://book.douban.com/subject/1465324/,"(
                    52528人评价
                )"
